iter	MultiClass
0	1.328241867
1	1.287666099
2	1.239477121
3	1.189705504
4	1.148554465
5	1.116755533
6	1.089605838
7	1.044881509
8	1.016971415
9	0.9938220718
10	0.9701893197
11	0.9420724796
12	0.9117558672
13	0.8820702056
14	0.8629141009
15	0.8442723856
16	0.8197534996
17	0.7995478582
18	0.785070305
19	0.7701950471
20	0.7480299574
21	0.728592812
22	0.7156732279
23	0.6954724798
24	0.6824324739
25	0.6694262599
26	0.6545263993
27	0.6457018398
28	0.6356974356
29	0.6196488678
30	0.6105181425
31	0.5990919696
32	0.5858276535
33	0.5782002084
34	0.5674806313
35	0.5613605123
36	0.5495847334
37	0.5406316518
38	0.5321356235
39	0.5251019835
40	0.5185854497
41	0.5111916665
42	0.5033727113
43	0.4952082471
44	0.4888458969
45	0.4812278985
46	0.4773692416
47	0.4714057009
48	0.4653583933
49	0.4596810569
50	0.4571030396
51	0.4514068694
52	0.4471354164
53	0.4408370577
54	0.4353023761
55	0.4323084929
56	0.4259737205
57	0.4203217787
58	0.4171820895
59	0.4131802523
60	0.4073674506
61	0.4018677091
62	0.3982706234
63	0.3927727039
64	0.3874363842
65	0.384440008
66	0.3802364363
67	0.3764721387
68	0.3716243592
69	0.3685820708
70	0.3643224044
71	0.3601473771
72	0.3562171217
73	0.3517198155
74	0.3490276538
75	0.3447146282
76	0.3411236507
77	0.3383800618
78	0.3352688067
79	0.3319817488
80	0.3274331014
81	0.3241581066
82	0.3204460989
83	0.31680662
84	0.3133438249
85	0.3093960392
86	0.3071287716
87	0.3038210984
88	0.3004429818
89	0.2975970919
90	0.2952750001
91	0.2923133853
92	0.2906431432
93	0.2877869055
94	0.2844489151
95	0.2819584286
96	0.2805227882
97	0.2774871578
98	0.2757311346
99	0.273116148
100	0.2707026098
101	0.2686465132
102	0.2671904432
103	0.2648699189
104	0.2623846696
105	0.2595110651
106	0.2567076396
107	0.2537069436
108	0.2510208584
109	0.2491554099
110	0.2462621255
111	0.244649522
112	0.2420090309
113	0.2406265423
114	0.2384756437
115	0.236696434
116	0.2341326561
117	0.2317321471
118	0.2289931933
119	0.2269736692
120	0.2259143699
121	0.2246350102
122	0.2226277495
123	0.2201112288
124	0.2184595521
125	0.2170624892
126	0.21545675
127	0.2141051319
128	0.2128206999
129	0.2116439999
130	0.2106334612
131	0.2086873309
132	0.2069962079
133	0.2055959463
134	0.2043960142
135	0.2029632286
136	0.2018917184
137	0.2004273506
138	0.1992318281
139	0.1970161809
140	0.195678012
141	0.1941003368
142	0.1930243784
143	0.1915848947
144	0.1898672686
145	0.1879091741
146	0.1863546786
147	0.18509882
148	0.1837635155
149	0.1821331674
150	0.1808851378
151	0.1798507638
152	0.1787330524
153	0.1776565559
154	0.1766729701
155	0.1758425835
156	0.1747145852
157	0.1734117974
158	0.1723091297
159	0.1704557181
160	0.1692260828
161	0.1679535606
162	0.167258685
163	0.165660785
164	0.1646300713
165	0.1635563635
166	0.1626908461
167	0.1619729307
168	0.1610154016
169	0.1600097181
170	0.1590230794
171	0.158277762
172	0.1568770815
173	0.1558972996
174	0.1547793682
175	0.1537830636
176	0.153121675
177	0.1520716555
178	0.1514642127
179	0.1497033815
180	0.1488355592
181	0.1482562982
182	0.1474043244
183	0.1463657142
184	0.1454983353
185	0.1445842107
186	0.1441540022
187	0.1431045863
188	0.1424211708
189	0.14160932
190	0.1406947316
191	0.1400866712
192	0.1394257605
193	0.138780441
194	0.1376514979
195	0.1366331645
196	0.1354879418
197	0.1346869652
198	0.1333736725
199	0.1327998992
200	0.1319317216
201	0.1314187703
202	0.1308150374
203	0.1303906613
204	0.13004635
205	0.129039377
206	0.1280914749
207	0.1276817745
208	0.1272037802
209	0.1267530839
210	0.1261484439
211	0.1250868609
212	0.1243488264
213	0.1237476634
214	0.1230995809
215	0.122253845
216	0.1218632977
217	0.1210733622
218	0.1206104601
219	0.1200634919
220	0.1189561693
221	0.1185970418
222	0.1180892614
223	0.1174151336
224	0.116857675
225	0.1162146636
226	0.1152465741
227	0.1147318076
228	0.1144428419
229	0.113903218
230	0.1133174204
231	0.1130487439
232	0.1125927803
233	0.1119799661
234	0.1116469799
235	0.1109413774
236	0.1104909222
237	0.1100667398
238	0.1094953574
239	0.108959824
240	0.1084262389
241	0.107828592
242	0.1075286956
243	0.1070014897
244	0.1064639918
245	0.1058237266
246	0.1056568703
247	0.1050023093
248	0.1044108341
249	0.1038256167
250	0.1033656241
251	0.1027991732
252	0.1024712494
253	0.102118679
254	0.1016401137
255	0.1012751868
256	0.1010557312
257	0.1004753045
258	0.1000642659
259	0.09968289575
260	0.09933126668
261	0.09889334769
262	0.09826296147
263	0.09772271752
264	0.09725815861
265	0.09677507717
266	0.0962579219
267	0.09571850918
268	0.09549257909
269	0.09510320286
