iter	Passed	Remaining
0	155	46629
1	161	24059
2	166	16484
3	171	12691
4	177	10464
5	181	8906
6	186	7805
7	192	7035
8	198	6414
9	203	5897
10	208	5470
11	212	5106
12	217	4794
13	221	4518
14	225	4288
15	229	4079
16	233	3886
17	237	3723
18	243	3600
19	246	3457
20	251	3336
21	254	3218
22	258	3107
23	261	3011
24	265	2923
25	268	2832
26	271	2747
27	274	2670
28	279	2608
29	282	2542
30	285	2480
31	289	2426
32	293	2372
33	296	2320
34	299	2267
35	302	2218
36	306	2175
37	309	2134
38	313	2094
39	316	2058
40	320	2022
41	323	1990
42	328	1962
43	331	1926
44	334	1896
45	337	1864
46	340	1834
47	344	1808
48	347	1780
49	350	1753
50	351	1716
51	355	1693
52	358	1671
53	362	1650
54	365	1629
55	369	1609
56	373	1590
57	376	1569
58	379	1550
59	382	1530
60	386	1513
61	390	1497
62	393	1479
63	396	1461
64	399	1443
65	402	1428
66	406	1414
67	410	1401
68	413	1385
69	417	1371
70	421	1360
71	424	1343
72	427	1328
73	430	1316
74	434	1303
75	439	1294
76	442	1280
77	446	1270
78	451	1262
79	455	1251
80	458	1239
81	461	1228
82	466	1218
83	470	1209
84	473	1197
85	476	1185
86	479	1175
87	483	1164
88	487	1154
89	490	1144
90	494	1134
91	497	1124
92	501	1116
93	504	1106
94	508	1096
95	511	1085
96	514	1077
97	518	1068
98	522	1060
99	525	1051
100	529	1042
101	532	1034
102	535	1023
103	538	1014
104	542	1006
105	545	997
106	548	989
107	551	981
108	554	972
109	557	963
110	561	955
111	565	948
112	568	940
113	571	932
114	574	924
115	578	917
116	582	910
117	585	902
118	588	894
119	591	886
120	595	881
121	599	874
122	602	867
123	605	859
124	609	853
125	613	846
126	616	839
127	619	832
128	622	825
129	626	818
130	629	811
131	632	804
132	635	797
133	638	790
134	641	784
135	644	777
136	647	770
137	651	764
138	654	757
139	657	751
140	660	745
141	664	738
142	667	732
143	670	726
144	673	720
145	676	713
146	679	707
147	682	700
148	684	694
149	687	687
150	691	681
151	694	676
152	697	670
153	701	664
154	704	659
155	707	652
156	710	646
157	713	640
158	716	634
159	719	629
160	722	623
161	725	617
162	728	612
163	731	606
164	734	601
165	737	595
166	740	589
167	743	584
168	746	578
169	749	573
170	752	567
171	755	562
172	758	556
173	761	551
174	764	546
175	768	541
176	771	535
177	773	530
178	777	525
179	780	520
180	784	515
181	787	510
182	791	505
183	794	500
184	797	495
185	800	490
186	803	485
187	806	480
188	809	475
189	812	470
190	816	465
191	819	461
192	823	456
193	826	451
194	829	446
195	833	442
196	836	437
197	839	432
198	842	427
199	846	423
200	849	418
201	852	413
202	855	408
203	859	404
204	863	400
205	866	395
206	869	390
207	872	385
208	876	381
209	879	377
210	882	372
211	886	367
212	889	363
213	894	359
214	897	354
215	900	350
216	904	346
217	908	341
218	912	337
219	915	332
220	917	328
221	920	323
222	924	319
223	927	314
224	930	310
225	933	305
226	936	301
227	940	297
228	943	292
229	946	288
230	950	283
231	954	279
232	958	275
233	962	271
234	965	267
235	968	262
236	972	258
237	975	254
238	978	249
239	982	245
240	985	241
241	988	236
242	992	232
243	995	228
244	999	224
245	1002	220
246	1005	215
247	1008	211
248	1011	207
249	1014	202
250	1017	198
251	1020	194
252	1024	190
253	1027	186
254	1030	181
255	1034	177
256	1036	173
257	1040	169
258	1043	165
259	1045	160
260	1048	156
261	1051	152
262	1054	148
263	1057	144
264	1060	140
265	1063	135
266	1067	131
267	1070	127
268	1073	123
269	1076	119
